text,group
any holders of reit in here?,btohqsg
paper loss more than $20k already?,btohqsg
Looking for a marketing job  have ~5 years experience in implementing marketing efforts and actual content production(videography+graphic design  website creation  photography). Am proficient in Adobe Creative Suite and am bilingual in English/Mandarin.,btohqsg
Who has extra cash and interested in investing a business that will give u a yield of 10-13% ? Pm me!,btohqsg
Seeking partners in a local Sg property deal.Very undervalued and gives good payouts and secured profit sharing. DM for details.,btohqsg
Looking for wealth manager-Basic salary $3000-$5000-Can hit 5 digit every month if you work hard-Welcome full time and those on part-time studies as wellRequirements:- Minimum Diploma (If you do not have diploma  a course can be applied for. Note that course fee applies)- Outspoken & must be willing to learn- No relevant experience neededBenefits:- Flexible schedule- Training provided- Scope: Acquisition on new and existing customers- Vibrant working environmentLimited vacancies only (New course starts in May & will only 5 months to get diploma - Will be paid while studying)Know anyone that may be keen? Refer him or her and receive $500 upon successful referral.PM me! :),btohqsg
Anyone keen to invest on a ROI 10% monthly interest please pm.Weekly paid!,btohqsg
#StockWatchGood Company at a Discount!Recently because of the Covid-19 virus  tourism has been severely affected.And one of the businesses most affected by this fall in tourism  is the cruise industry.And I’m going to share with you a company I’ve been eyeing on  and right now it’s presented a fantastic opportunity to consider buying for the Long term.Are you ready?........ it’s .... Norwegian Cruise Line Holdings ($NCLH). TAKE THAT DOWN!!Right now$NCLHis trading at $8  from its previous highs of ~$60!!! The stock has been hammered down to absolute lows.But the company still remains fundamentally strong  good cash flows  good interest coverage  and has been consistent increasing its earnings.It’s traits like this that define good companies and GOOD COMPANIES WILL SURVIVE.So when the economy and market starts to recover  you have a huge potential upside to come.As always do your own due diligence (DYODD)  and remember to hedge your risk#StockWatch,btohqsg
Pm and these could be your return in a couple of months. Capital repaid with ROI monthly basis. PM and meet up to discuss!,btohqsg
Seeking partners in a local Sg property deal.Very undervalued and gives good payouts and secured profit sharing. DM for details.,btohqsg
our loan / investment platform has opened for 2020  therefore if you have any credible project that requires funding be it on the platform of direct loan or joint venture  you are advised to send your project summary to us   to enable us study and understand our possible gains and also determine if we have interest to inject our funds into such project or not.Kindly note that we do not have any location barrier however we are most interested to venture into any of the following sectors Oil/Gas banking real estate stocks tradingmining transportation Health sectortobacco Communication Services AgricultureForestry & Fishing Electricity  Entertainment etcIf you have other projects that you think may interest us which is not included in the list above you can also send to us for review.In 2020 our loan breakdown are;Minimum $1 million dollarsMaximum $30 billion dollarsInterest rate per annum 2.5%Loan period 15 yearsGrace period 3 years.Kindly send us your project summary to enable us understand you better contact@Salif_Amin   thanks.,btohqsg
Hi! Im selling away my ivibit acc.. and in the acc worth of 1.4792 btc... interested  pm me,btohqsg
I've got enough for the week already,btohqsg
foresee STI index at 2100 tomorrow,btohqsg
Hi! Im selling away my ivibit acc.. and in the acc worth of 1.4792 btc... interested  pm me,btohqsg
Any investors looking for freehold properties can pm me,btohqsg
You're invited!1. Sign up with my invite link2. Deposit and buy SGD 100 in BTC (Luno exchange not included)3. We both get SGD 5.00 free BTChttps://www.luno.com/invite/HF6CGW,btohqsg
Common Room for RENT!Opposite Yew Tee MRTSingle- $6502 pax- $800- With aircon and WiFi.- Light cooking- Females onlyLing91720067,btohqsg
Selling bank sale properties> Landed properties D19 & D28> Freehold> Good buy>96223889,btohqsg
Master bed room for rent. Two bus stops or ten min walk to MRT. Only 900  inclusive of aircon  wifi n utilities. Pm me for more info.,btohqsg
Many had been RESTRICTED for ADVERTISING.Please note  only place with free advertising like buy/Sell Singapore@sgFreeMarketMalaysia@MsiaMarketCurrent situation update on COVID-19 proceed to@sgVirusAll other chatsSingapore@sgTalkMalaysia@MsiaTalk,btohqsg
I just want to share my thoughts onDollar Cost Averaging  because I know some people who have being utilizing this strategy right now...BUT I believe it’s NOT the right strategy for investment right now.Hope this clarifies! 😊,btohqsg
🔥KOPAR AT NEWTON🔥More than just a luxury residence  KOPAR AT NEWTON is surrounded by the finest amenities right at your doorstep🌟 Within 1km of 3 popular schools (ACS Primary  SJI   ACS Junior)🌟 3 mins to Major Expressway  CTE🌟 300m to Newton MRT🌟 Interchange of 2 MRT lines (North South & Downtown)🌟 1 MRT Stop to Novena Medical Hub🌟 1 MRT Stop to Orchard Shopping BeltLAUNCHING SOON😲 NOT TO BE MISSED!! D09 NEW LAUNCH AT AN UNBEATABLE PRICE!🛌1Br - 517 sqft Fr $1.0X mil - $2108psf🛌🛌2Br Classic - 614 sqft Fr $1.3X mil - $2278psf🛌🛌2Br Deluxe - 689 - 700 sqft Fr $1.4X mil - $2141psf🛌🛌🛌3Br Classic - 915 - 958 sqft Fr $1.9X mil - $2175psf🛌🛌🛌3Br Deluxe - 1044 - 1086 sqft Fr $2.2X mil - $2202psf🛌🛌🛌🛌4Br - 1518 - 1604 sqft Fr $3.4 mil - $2264psf🛌🛌🛌🛌🛌5Br - 1808 - 1819 sqft Fr $3.9 mil -$2187psf🏬 3/4/6 Br Penthouse - 1346 - 1367sqft/1722sqft/2637 - 2863sqft - Price on AskContact me for VVIP PreviewNicholas ThangOrangeTee & Tie81184108,btohqsg
WEEKLY CASH JOB(OUTDOOR SALES REP)* EARN $100-$150 daily(Weekly paid)* Able to work with friends* Training provided* No experience needed* Not introvert* Min 16yrs old to 30yrs old* Able to commit and start immediatelyMUST BE SINGAPOREAN/PRCHINESE SPEAKING PREFERREDWorking hours: 9.30am-7pmMore details please Apps96465635,btohqsg
Anyone knows which legal loans that accept loans for singaporean who work part time w cpf contribution,btohqsg
Any working adult keen to earn extra cash please pm me,btohqsg
Stay indoors y'all...The virus is real,btohqsg
“...must stay at home except foressential activity  ....”What is essential duty?“...Essential businesses and services include grocery stores  pharmacies  gas stations  police stations  fire stations  hospitals  doctor’s offices  health care facilities  garbage pickup  public transit and public service hotlines such as SNAP and HIP 2.0  as well as others  according to a statement from the governor’s office...”Which means businesses in othernon-essentialsectors like  retail  luxury  fitness  F&B...(just to name a few  will be affected)———When there’s crisis  there’s opportunity. Open your eyes and you’ll find them 👀———States urge staying home. Here's the latest on coronavirus restrictionshttps://www.cnbc.com/2020/03/23/massachusetts-under-stay-at-home-order-until-april-7-gov-baker-announces.html?__source=iosappshare%7Ccom.apple.UIKit.activity.CopyToPasteboard,btohqsg
Partnership slots available in a local Sg property deal.Very undervalued and gives good payouts and secured profit sharing. DM for details.,btohqsg
BANK SALEEste VillaFor sale by auction on 25 March 2020  2.30pm at Amara Hotel Level 3- Cluster house  3 ½-storey + basement- 5-bedroom + helper's room- Private lift access to all levels- With 2 private carpark lots- Nice layout  bright and breezyLOCATION:- Approx. 10 mins drive to Yio Chu Kang & Ang Mo Kio MRT stations (NSL)- Mins drive to Greenwich V  The Seletar Mall  Compass One and Waterway Point- Close proximity to reputable school such as Nanyang Polytechnic  Anderson Primary School and Anderson Junior College.- Also near to Rosyth School and Jing Shan Primary School*Property will be sold with vacant possession on an as is where is basisFor more info/viewing:  9622 3889,btohqsg
All investors getting profitability fromour platform.The right time to invest in crypto is now.When you have lost hope given the sudden drop in Bitcoins  and other cryptocurrency  don't worry  our platform comes readily in mind.Start making 30% of your crypto investment weekly! Always remember  you are not sending money or bitcoin to me or anybody.Every millionaire got richer by cryptocurrencies investment.Start investing if you are looking for Legit and paying Investment.Message me now for more information.Stay indoors  stay safe from tge virus! Listen to local health advice  thank you. God bless,btohqsg
#Covid_19This is an opportunity to start making money from home and take advantage of the financial markets 🤞🏻Your money in the bank is being traded by the banks and you get charged for keeping your money with the bank  while they make money from trading your funds....get invested in bitcoin mining investment   let your money work for you and not for the banks you keep them in.Message me now for more information  blessings everyone and please stay safe from the virus! 😇❤🌏,btohqsg
more benefit not written PM to know more!!!! No obligation !!!!!,btohqsg
As you quarantined yourself learn to work and earn online.,btohqsg
Hi all!👍🏻 I have Condo Units available for RENT!⏱🚶♀ONLY 5 mins walk to Pasir Panjang MRT!🔌 Fully Fitted Facilities include WIFI  POOL  24hrs Security  etc!PM me for more details if keen! 😉,btohqsg
